player_id,rank_tier,win,lose,mmr_estimate
19813,65.0,3068,3024,3686.0
24937,55.0,1102,1084,3565.0
26952,80.0,3932,3792,5294.0
30208,65.0,3318,3204,4636.0
40380,75.0,4830,4551,4014.0
42072,80.0,2020,2083,4096.0
43407,75.0,5186,4834,4617.0
49034,32.0,983,1015,2779.0
55035,65.0,4123,3871,3949.0
58008,63.0,1192,890,4326.0
59065,44.0,5510,5293,3540.0
59889,63.0,1428,1360,3500.0
62909,63.0,4084,3554,4311.0
63849,75.0,4131,4018,4567.0
65070,80.0,6310,6038,5249.0
71818,52.0,2429,2452,3270.0
74079,80.0,1278,1001,4756.0
78071,80.0,426,321,5023.0
88470,80.0,5537,5090,6711.0
88717,53.0,2883,2814,3319.0
88906,80.0,2907,2284,5072.0
89330,80.0,1077,789,4332.0
93015,80.0,1186,912,4422.0
97873,71.0,3310,3148,3907.0
104388,80.0,7090,6948,4915.0
105542,21.0,792,783,2533.0
116541,43.0,3517,3530,3262.0
116553,72.0,5183,5093,4318.0
130403,65.0,1690,1849,3642.0
145518,72.0,2580,2308,3985.0
146520,,4557,2612,5098.0
149868,65.0,5711,5306,4285.0
150613,44.0,2947,2763,3089.0
157820,53.0,1498,1331,2578.0
159729,43.0,3249,3251,3172.0
162340,33.0,1157,1303,2978.0
163705,53.0,4578,4308,4125.0
166666,75.0,2270,1872,4187.0
177183,75.0,6784,4114,3695.0
193251,64.0,3948,3888,3910.0
196615,14.0,1382,1440,1580.0
200512,71.0,4892,4737,4454.0
204039,80.0,3774,3540,4966.0
204088,42.0,222,231,3345.0
213228,53.0,2405,2388,3519.0
214011,42.0,4290,4370,3393.0
222159,53.0,3446,3382,3459.0
229637,80.0,2007,1607,4563.0
231862,80.0,527,469,4105.0
232600,80.0,3978,3616,4208.0
240141,51.0,2102,2057,3426.0
242963,72.0,6085,5871,4320.0
244635,55.0,71,64,3280.0
245305,71.0,4228,4149,4069.0
246539,44.0,1769,1587,3375.0
279996,80.0,469,173,4575.0
280488,71.0,2508,2422,4035.0
281023,,88,85,4243.0
282938,64.0,312,232,3673.0
291337,80.0,1180,917,4663.0
293728,73.0,3138,2981,4531.0
299673,62.0,3053,2969,3587.0
309445,64.0,2429,2361,3985.0
310596,80.0,2939,2597,5115.0
319084,73.0,1507,1346,3771.0
324533,,227,260,3736.0
335089,80.0,246,137,4190.0
340861,64.0,1623,1352,3409.0
348595,33.0,1101,1108,3239.0
355634,63.0,4884,4790,3703.0
363611,51.0,1859,1703,3261.0
382268,35.0,1084,1058,3568.0
388221,62.0,3908,4039,3525.0
409380,73.0,3506,3256,3659.0
413850,80.0,1096,952,5001.0
416063,53.0,3167,3159,3642.0
417477,62.0,3203,3279,3548.0
419081,65.0,1503,1455,4003.0
432412,24.0,492,550,2359.0
439296,63.0,6494,6307,4362.0
445935,80.0,1123,738,5745.0
462026,13.0,1067,1184,1849.0
462225,44.0,2386,2525,3505.0
496530,80.0,5172,4339,4596.0
504085,73.0,2397,2123,3961.0
505833,53.0,1375,1324,3426.0
522916,80.0,1118,926,6041.0
535014,53.0,5724,5820,3302.0
546686,71.0,3152,2872,4092.0
548368,80.0,3491,3299,3639.0
554006,80.0,2323,1990,4786.0
557772,64.0,3487,3531,4461.0
558978,75.0,1394,1298,4146.0
559731,80.0,5004,4590,4921.0
568079,51.0,1397,1311,3343.0
581146,24.0,2355,2363,2056.0
594785,52.0,1666,1679,3660.0
597177,53.0,2390,2398,3514.0
610314,80.0,2099,1967,4848.0
618120,43.0,2526,2588,2526.0
624737,45.0,3489,3553,3099.0
629466,45.0,1875,1703,3127.0
639740,52.0,2202,1933,3005.0
649486,53.0,1898,1911,3244.0
666666,80.0,526,376,4711.0
676193,80.0,719,651,4735.0
680868,80.0,646,607,4621.0
692918,61.0,4367,3927,4049.0
693855,,136,68,4145.0
696676,72.0,211,151,4240.0
721158,62.0,2563,2388,3746.0
731690,61.0,3727,3447,3907.0
746713,64.0,5585,5354,4184.0
748360,,1987,1998,3267.0
755457,63.0,2928,2818,3737.0
758174,80.0,2217,1713,5131.0
760290,74.0,5625,5501,4470.0
763344,,1887,1744,3817.0
769356,80.0,2796,2515,4353.0
787090,34.0,254,231,2687.0
791313,80.0,928,434,6062.0
792121,80.0,1525,1348,4677.0
832944,,2310,1501,4402.0
842868,51.0,1199,1164,3725.0
843923,51.0,3827,3673,3286.0
848718,80.0,3588,2978,5464.0
870139,72.0,625,514,3932.0
870535,53.0,4859,4702,3656.0
872171,32.0,937,944,3834.0
890211,,1388,1489,2947.0
891667,43.0,4373,4170,3479.0
892408,80.0,2468,2349,4522.0
901150,64.0,5117,5464,3722.0
902126,51.0,701,694,3884.0
904274,80.0,5676,5413,4515.0
909757,55.0,2648,2438,4469.0
915777,75.0,4106,3814,4381.0
918963,62.0,2033,2132,4012.0
940606,71.0,3909,3678,4098.0
942275,63.0,4794,4378,3984.0
947391,80.0,2535,2218,5346.0
962222,53.0,4049,3819,4472.0
